season,celebrity_name,season_wikipedia_page,window_start,window_end,wikipedia_article,pageviews_status,pageviews_sum,pageviews_mean,pageviews_max,pageviews_days,api_start,api_end
27,Alexis Ren,Dancing with the Stars (American TV series) season 27,2018-09-17,2018-11-26,Alexis Ren,ok,457346,6441.492957746479,37168,71,2018-09-17,2018-11-26
27,Bobby Bones,Dancing with the Stars (American TV series) season 27,2018-09-17,2018-11-26,Bobby Bones,ok,415354,5850.056338028169,88443,71,2018-09-17,2018-11-26
27,Danelle Umstead,Dancing with the Stars (American TV series) season 27,2018-09-17,2018-11-26,Danelle Umstead,ok,158700,2235.211267605634,36379,71,2018-09-17,2018-11-26
27,DeMarcus Ware,Dancing with the Stars (American TV series) season 27,2018-09-17,2018-11-26,DeMarcus Ware,ok,282523,3979.1971830985917,40177,71,2018-09-17,2018-11-26
27,Evanna Lynch,Dancing with the Stars (American TV series) season 27,2018-09-17,2018-11-26,Evanna Lynch,ok,396457,5583.901408450704,36403,71,2018-09-17,2018-11-26
27,Joe Amabile,Dancing with the Stars (American TV series) season 27,2018-09-17,2018-11-26,Joe Amabile,ok,37122,522.8450704225352,4569,71,2018-09-17,2018-11-26
27,John Schneider,Dancing with the Stars (American TV series) season 27,2018-09-17,2018-11-26,John Schneider (screen actor),ok,591850,8335.915492957747,107720,71,2018-09-17,2018-11-26
27,Juan Pablo Di Pace,Dancing with the Stars (American TV series) season 27,2018-09-17,2018-11-26,Juan Pablo Di Pace,ok,319797,4504.183098591549,51708,71,2018-09-17,2018-11-26
27,Mary Lou Retton,Dancing with the Stars (American TV series) season 27,2018-09-17,2018-11-26,Mary Lou Retton,ok,670372,9441.859154929578,121935,71,2018-09-17,2018-11-26
27,Milo Manheim,Dancing with the Stars (American TV series) season 27,2018-09-17,2018-11-26,Milo Manheim,ok,531202,7481.718309859155,60356,71,2018-09-17,2018-11-26
27,Nancy McKeon,Dancing with the Stars (American TV series) season 27,2018-09-17,2018-11-26,Nancy McKeon,ok,377726,5320.084507042254,75276,71,2018-09-17,2018-11-26
27,Nikki Glaser,Dancing with the Stars (American TV series) season 27,2018-09-17,2018-11-26,Nikki Glaser,ok,266729,3756.7464788732395,26226,71,2018-09-17,2018-11-26
27,Tinashe,Dancing with the Stars (American TV series) season 27,2018-09-17,2018-11-26,Tinashe,ok,243491,3429.450704225352,25382,71,2018-09-17,2018-11-26
