Feature,Pearson_r,p_value,Significant
last_letter_freq,-0.056462395652996177,0.2860034140132612,No
first_letter_freq,0.035684130409450295,0.5003275336134191,No
min_letter_freq,-0.03367395821044404,0.524785741650681,No
avg_letter_freq,-0.030577826331532,0.5636141475162307,No
num_vowels,-0.027399280443980253,0.604856781866691,No
vowel_ratio,-0.0262678925274469,0.6198553370800056,No
max_letter_freq,0.015232618555086574,0.7736322256704787,No
num_unique_letters,-0.013219226197859674,0.8028920701885968,No
num_repeated_letters,0.008816829524430903,0.8677825997744933,No
has_repeated,0.006516663717616411,0.9020723763941769,No
