season,alpha,n_weeks,n_exit_weeks,n_single_exit_weeks,n_multi_exit_weeks,match_rate_percent,match_rate_rank,match_rate_percent_judge_save,match_rate_rank_judge_save,diff_weeks_percent_vs_rank,mean_fan_share_observed,mean_fan_share_pred_percent,mean_fan_share_pred_rank,mean_judge_pct_observed,mean_judge_pct_pred_percent,mean_judge_pct_pred_rank
1,0.5,6,3,3,0,1.0,1.0,0.3333333333333333,0.3333333333333333,0,0.06851647508420901,0.06851647508420901,0.06851647508420901,0.18380181108572483,0.18380181108572483,0.18380181108572483
2,0.5,8,7,7,0,1.0,1.0,0.42857142857142855,0.8571428571428571,0,0.05910233358530513,0.05910233358530513,0.05910233358530513,0.12880147365318542,0.12880147365318542,0.12880147365318542
3,0.5,10,7,6,1,1.0,1.0,0.5,0.6666666666666666,0,0.05392081270136102,0.05392081270136102,0.05392081270136102,0.1334459823246791,0.1334459823246791,0.1334459823246791
4,0.5,10,8,8,0,1.0,0.875,0.375,0.625,1,0.05444484626215066,0.05444484626215066,0.06682125246403256,0.1271455087423343,0.1271455087423343,0.12567492050704016
5,0.5,10,9,9,0,1.0,0.8888888888888888,0.5555555555555556,0.5555555555555556,1,0.05134310635725197,0.05134310635725197,0.057370856274187775,0.1300610049208372,0.1300610049208372,0.12866044469674756
6,0.5,10,8,7,1,1.0,0.875,0.5714285714285714,0.5714285714285714,1,0.0545684466460424,0.0545684466460424,0.07396931396294817,0.1328162616828146,0.1328162616828146,0.13234809688880714
7,0.5,10,8,6,2,1.0,0.875,0.6666666666666666,0.6666666666666666,1,0.055765855353628664,0.055765855353628664,0.06581583193818974,0.12776068861089573,0.12776068861089573,0.1271196629698701
8,0.5,11,9,8,1,1.0,1.0,0.5,0.625,0,0.05323496542267497,0.05323496542267497,0.05323496542267497,0.11914801049320659,0.11914801049320659,0.11914801049320659
9,0.5,10,9,5,4,1.0,1.0,0.4,0.4,0,0.04897599963789215,0.04897599963789215,0.04897599963789215,0.11063038873898427,0.11063038873898427,0.11063038873898427
10,0.5,10,8,8,0,1.0,0.875,0.625,0.875,1,0.05457149280856257,0.05457149280856257,0.06071939463164184,0.1267819680425603,0.1267819680425603,0.12450924076983304
11,0.5,10,9,9,0,1.0,0.7777777777777778,0.6666666666666666,0.5555555555555556,2,0.051825802806524705,0.051825802806524705,0.07897021958331135,0.12740127081211197,0.12740127081211197,0.12150071280266649
12,0.5,10,8,8,0,1.0,1.0,0.5,0.5,0,0.05366200729574942,0.05366200729574942,0.05366200729574942,0.13155277824689054,0.13155277824689054,0.13155277824689054
13,0.5,10,9,9,0,1.0,1.0,0.6666666666666666,0.6666666666666666,0,0.051656501469130534,0.051656501469130534,0.051656501469130534,0.12366627234080209,0.12366627234080209,0.12366627234080209
14,0.5,10,8,7,1,1.0,0.875,0.8571428571428571,0.8571428571428571,1,0.05126365025823064,0.05126365025823064,0.07919007014659749,0.12199748541929809,0.12199748541929809,0.12091052889755893
15,0.5,10,7,4,3,1.0,0.5714285714285714,0.25,0.25,3,0.0492784410640661,0.0492784410640661,0.07231636582135702,0.11413621540952497,0.11413621540952497,0.11151596694745218
16,0.5,10,9,9,0,1.0,1.0,0.8888888888888888,0.8888888888888888,0,0.052162757985828825,0.052162757985828825,0.052162757985828825,0.11711574507166131,0.11711574507166131,0.11711574507166131
17,0.5,11,9,9,0,1.0,0.7777777777777778,0.5555555555555556,0.4444444444444444,2,0.052071224907636084,0.052071224907636084,0.07368454339082076,0.13047039083292516,0.13047039083292516,0.12692804402816701
18,0.5,10,8,7,1,1.0,1.0,0.42857142857142855,0.5714285714285714,0,0.051055308259357224,0.051055308259357224,0.051055308259357224,0.13899685516348692,0.13899685516348692,0.13899685516348692
19,0.5,11,10,10,0,1.0,1.0,0.5,0.8,0,0.050533325678386073,0.050533325678386073,0.050533325678386073,0.12013939298036691,0.12013939298036691,0.12013939298036691
20,0.5,10,8,7,1,1.0,0.375,0.14285714285714285,0.14285714285714285,5,0.05093221382987212,0.05093221382987212,0.115655929526022,0.1285337784355227,0.1285337784355227,0.11902747646187951
21,0.5,11,7,5,2,1.0,0.7142857142857143,0.6,0.6,2,0.05515068224574464,0.05515068224574464,0.09837312701511784,0.12555018803716564,0.12555018803716564,0.12215913879699977
22,0.5,10,7,5,2,1.0,0.7142857142857143,0.6,0.6,2,0.049615761969600256,0.049615761969600256,0.08222316176648316,0.11581113897085513,0.11581113897085513,0.11397031027395567
23,0.5,11,9,8,1,1.0,0.8888888888888888,0.625,0.625,1,0.05122840678222221,0.05122840678222221,0.06971608822489024,0.12834445816238169,0.12834445816238169,0.1268275829253699
24,0.5,10,8,7,1,1.0,0.625,0.42857142857142855,0.7142857142857143,3,0.05206026177698952,0.05206026177698952,0.09873259365769865,0.13006478488841075,0.13006478488841075,0.12488540906332218
25,0.5,10,8,6,2,1.0,0.75,0.5,0.6666666666666666,2,0.05264686509850127,0.05264686509850127,0.07497058990663201,0.1323858065104278,0.1323858065104278,0.12972821290219433
26,0.5,4,3,0,3,1.0,0.6666666666666666,,,1,0.05766887046619764,0.05766887046619764,0.0727474881174512,0.12063151078742164,0.12063151078742164,0.11938540486841853
27,0.5,9,7,5,2,1.0,0.5714285714285714,0.0,0.2,3,0.04488094571429121,0.04488094571429121,0.07490237420927699,0.10323676681538693,0.10323676681538693,0.09555867020733236
28,0.5,11,7,6,1,1.0,0.8571428571428571,0.5,0.6666666666666666,1,0.05083899155896949,0.05083899155896949,0.061173327303272684,0.11702806972538804,0.11702806972538804,0.11514837047726774
29,0.5,11,9,7,2,1.0,1.0,0.42857142857142855,0.8571428571428571,0,0.04249038650954011,0.04249038650954011,0.04249038650954011,0.09081224018807832,0.09081224018807832,0.09081224018807832
30,0.5,10,8,5,3,1.0,0.875,0.6,0.6,1,0.042960695929115444,0.042960695929115444,0.05012767547775173,0.09088208724195532,0.09088208724195532,0.08958338594325402
31,0.5,10,9,6,3,1.0,0.8888888888888888,0.16666666666666666,0.6666666666666666,1,0.04291240271514041,0.04291240271514041,0.04550829145117493,0.08444606924768557,0.08444606924768557,0.08388865564679372
32,0.5,11,9,9,0,1.0,0.7777777777777778,0.2222222222222222,0.2222222222222222,2,0.042311312300149374,0.042311312300149374,0.0574487987183662,0.09625163749573407,0.09625163749573407,0.09512870605365367
33,0.5,9,6,4,2,1.0,1.0,0.5,0.75,0,0.04609579325563413,0.04609579325563413,0.04609579325563413,0.11118178121564341,0.11118178121564341,0.11118178121564341
34,0.5,11,8,7,1,1.0,0.75,0.14285714285714285,0.5714285714285714,2,0.04431859516309071,0.04431859516309071,0.06630787002084639,0.10070346711702967,0.10070346711702967,0.09860528632183087
