outcome,model,term,n_draws,estimate_median,estimate_sd,q05,q95,sign_consistency,iqr
fan_vote_index_mean,ols,C(industry)[T.Astronaut],15,-0.23346597312489384,0.9815545761735149,-1.0822420624919933,1.4554218370624104,0.5333333333333333,2.5376638995544036
fan_vote_index_mean,ols,C(industry)[T.Athlete],15,-0.06474854996019976,0.10845708475095313,-0.26340757456886116,0.02685769850293813,0.7333333333333333,0.2902652730717993
fan_vote_index_mean,ols,C(industry)[T.Beauty Pagent],15,-0.36994871863791184,0.3573141745819393,-1.1291153765154682,-0.1434731117908243,1.0,0.9856422647246439
fan_vote_index_mean,ols,C(industry)[T.Comedian],15,-0.11216791795332899,0.2558207940177916,-0.5784406060645533,0.17696801062925657,0.7333333333333333,0.7554086166938099
fan_vote_index_mean,ols,C(industry)[T.Con artist],15,-0.3082588002805801,0.4808104534965538,-1.064670315600218,0.2820203636817935,0.7333333333333333,1.3466906792820115
fan_vote_index_mean,ols,C(industry)[T.Conservationist],15,0.051146660194689206,0.16649262759608727,-0.13088154647247677,0.3292181972637733,0.5333333333333333,0.46009974373625007
fan_vote_index_mean,ols,C(industry)[T.Entrepreneur],15,-0.08906165353762471,0.36829768770496074,-0.4530250070977474,0.5503488763670523,0.6666666666666666,1.0033738834647998
fan_vote_index_mean,ols,C(industry)[T.Fashion Designer],15,-0.08137832263973796,0.9172535528689286,-1.442671711833892,1.356521328942836,0.5333333333333333,2.799193040776728
fan_vote_index_mean,ols,C(industry)[T.Fitness Instructor],15,0.27170417872170405,0.5658006156294363,-0.5309513210311517,1.0487011680745508,0.7333333333333333,1.5796524891057024
fan_vote_index_mean,ols,C(industry)[T.Journalist],15,-0.3844088860800933,0.6764631454227558,-1.1043108160746322,0.9160225624639302,0.7333333333333333,2.020333378538562
fan_vote_index_mean,ols,C(industry)[T.Magician],15,-1.0452970644031692,1.0773951444950174,-2.667450251584789,0.17927941845511897,0.8666666666666667,2.846729670039908
fan_vote_index_mean,ols,C(industry)[T.Military],15,0.14903504350056354,0.3782307755842922,-0.33678843317428314,0.7256076699505876,0.7333333333333333,1.0623961031248708
fan_vote_index_mean,ols,C(industry)[T.Model],15,-0.3887445967012295,0.139502896751339,-0.5312287352669404,-0.1432129913947963,1.0,0.3880157438721441
fan_vote_index_mean,ols,C(industry)[T.Motivational Speaker],15,0.340062188451912,0.4001591475449783,-0.2482153392587534,0.8861020377226765,0.8666666666666667,1.1343173769814299
fan_vote_index_mean,ols,C(industry)[T.Musician],15,0.836679349762714,0.4257978907053591,0.21611831926749675,1.5155254820576096,1.0,1.299407162790113
fan_vote_index_mean,ols,C(industry)[T.News Anchor],15,0.044933134629419946,0.3374971503489165,-0.517278992477116,0.426322882331141,0.6,0.943601874808257
fan_vote_index_mean,ols,C(industry)[T.Politician],15,-0.2342141941847508,0.40633124175886737,-0.812110176206823,0.47068214351608123,0.8,1.2827923197229043
fan_vote_index_mean,ols,C(industry)[T.Producer],15,0.18905068462460398,0.5887649290636117,-0.6143541671644533,1.1491647084699856,0.6666666666666666,1.763518875634439
fan_vote_index_mean,ols,C(industry)[T.Racing Driver],15,0.1273782650101537,0.3257655735777497,-0.22452520447523913,0.6970053134768732,0.6666666666666666,0.9215305179521124
fan_vote_index_mean,ols,C(industry)[T.Radio Personality],15,-0.5496072343864482,0.4329000525683592,-0.9534560820126348,0.28618407707229016,0.8,1.2396401590849249
fan_vote_index_mean,ols,C(industry)[T.Singer/Rapper],15,-0.06990600391552056,0.08380329228064817,-0.15984850401418613,0.06086628193612718,0.6666666666666666,0.2207147859503133
fan_vote_index_mean,ols,C(industry)[T.Social Media Personality],15,-0.007732141252054425,0.16761717481632288,-0.20426135308953303,0.26845354405122884,0.5333333333333333,0.47271489714076187
fan_vote_index_mean,ols,C(industry)[T.Social media personality],15,0.084701076991858,0.22497188868311407,-0.2668315368060992,0.3640325217143267,0.6,0.6308640585204259
fan_vote_index_mean,ols,C(industry)[T.Sports Broadcaster],15,0.28105541856606925,0.49578658704701056,-0.5886093054057187,0.8871013793749687,0.7333333333333333,1.4757106847806873
fan_vote_index_mean,ols,C(industry)[T.TV Personality],15,-0.00432152041844017,0.07259936950980761,-0.13311814410714468,0.08589695147593655,0.6,0.21901509558308124
fan_vote_index_mean,ols,Intercept,15,-0.9654727084315693,0.4644474658741075,-1.8117658315889844,-0.43649045517313534,1.0,1.375275376415849
fan_vote_index_mean,ols,age,15,-0.023161037733640224,0.01462941243558254,-0.04559901300428608,-0.011217276803091526,1.0,0.03438173620119456
fan_vote_index_mean,ols,age_sq,15,0.00014535331601913713,0.0001714406282392753,-2.032266406243922e-05,0.00040935508862296354,0.9333333333333333,0.0004296777526854028
fan_vote_index_mean,ols,is_us,15,1.253076452757387,0.6237329811541215,0.3269637145126817,2.051530352687355,1.0,1.7245666381746734
fan_vote_index_mean,ols,log_state_pop,15,-0.07419384639318427,0.038519273041149285,-0.12251518602907857,-0.021530095727115693,0.9333333333333333,0.10098509030196287
