feature,importance,targets
mechanism_rank,0.6471201205911911,champion_mode_prob_robustness_score_tpi_season_avg
season_era_early,0.08878253255398283,champion_mode_prob_robustness_score_tpi_season_avg
season_era_recent,0.07274141180942094,champion_mode_prob_robustness_score_tpi_season_avg
outlier_mult,0.06442601573579486,champion_mode_prob_robustness_score_tpi_season_avg
mechanism_percent_judge_save,0.04217518936857559,champion_mode_prob_robustness_score_tpi_season_avg
mechanism_percent_log,0.028877939989754856,champion_mode_prob_robustness_score_tpi_season_avg
season_era_late,0.013585710592266154,champion_mode_prob_robustness_score_tpi_season_avg
season_era_mid,0.01110069736500715,champion_mode_prob_robustness_score_tpi_season_avg
mechanism_percent_sqrt,0.009282337618185641,champion_mode_prob_robustness_score_tpi_season_avg
mechanism_dynamic_weight,0.007720522212577456,champion_mode_prob_robustness_score_tpi_season_avg
mechanism_percent_cap,0.007180823754725831,champion_mode_prob_robustness_score_tpi_season_avg
mechanism_percent,0.007006698408517645,champion_mode_prob_robustness_score_tpi_season_avg
alpha,0.0,champion_mode_prob_robustness_score_tpi_season_avg
n_sims,0.0,champion_mode_prob_robustness_score_tpi_season_avg
robustness_score,0.7944628607225135,robust_fail_rate
robust_fail_rate,0.2040508619373394,robust_fail_rate
champion_mode_prob,0.0003345894793574247,robust_fail_rate
champion_predictability,0.0002943021496572428,robust_fail_rate
tpi_season_avg,0.00026657261080316637,robust_fail_rate
system_balance,0.0002161500897968226,robust_fail_rate
champion_entropy,0.00017473140961618374,robust_fail_rate
fan_vs_uniform_contrast,0.00016685910922361623,robust_fail_rate
season_era_early,8.046399422940808e-06,robust_fail_rate
alpha_outlier_interaction,6.655916758016795e-06,robust_fail_rate
outlier_mult,6.3962305506354584e-06,robust_fail_rate
season_era_late,4.281566403229481e-06,robust_fail_rate
season_era_mid,2.8169592589007447e-06,robust_fail_rate
mechanism_rank,2.6480185306909667e-06,robust_fail_rate
mechanism_percent_judge_save,1.9626417102825905e-06,robust_fail_rate
mechanism_percent_sqrt,1.0994437098521053e-07,robust_fail_rate
season_era_recent,8.131866743648492e-08,robust_fail_rate
mechanism_percent,7.349601933401705e-08,robust_fail_rate
mechanism_percent_cap,1.2683622157345971e-16,robust_fail_rate
mechanism_percent_log,1.0047533242381177e-16,robust_fail_rate
mechanism_dynamic_weight,7.19991690474737e-17,robust_fail_rate
alpha,0.0,robust_fail_rate
n_sims,0.0,robust_fail_rate
